=== task-48 seo-audit — RUN 1 (BEFORE fixes) : live production https://francepassoire.pages.dev — 2026-08-20T22:41:15Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : https://francepassoire.pages.dev (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
| `/entite/ledger/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/leroy-merlin/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-de-leducation-nationale/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-de-linterieur/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/ministere-des-sports-de-la-jeunesse-et-de-la-vie-associative-dispositif-passsport/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/mondial-relay/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/nexpublica-france-ex-inetum-software-france/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/office-francais-de-limmigration-et-de-lintegration-ofii/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/orange/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/police-nationale-plateforme-e-campus/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sante-publique-france/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sfr/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sorbonne-universite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/sport-2000/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/stade-francais-paris/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/tchap-messagerie-de-letat/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/urssaf-service-pajemploi/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/viamedis/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/weda/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/accor-20260715/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/aefe-20260811/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/air-france-klm-20250806/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/alain-afflelou-20250415/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/alaxione-20260820/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/almerys-20240205/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ants-20260415/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ap-hp-20210912/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/assurance-retraite-20240909/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/auchan-20250821/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
